DBN,Location,Location Type,Total_GC&SW,Total GC,Total SW,Full Time GC,Full Time SW
23K599,Brooklyn Landmark Elementary School,Elementary,3.0,1.0,2.0,1.0,2.0
23K643,Brooklyn Democracy Academy,High school,3.0,2.0,1.0,2.0,1.0
23K644,Eagle Academy for Young Men II,Secondary School,6.6,4.6,2.0,4.0,2.0
23K647,Metropolitan Diploma Plus High School,High school,4.0,3.0,1.0,3.0,1.0
23K664,Brooklyn Environmental Exploration School (BEES),Junior High-Intermediate-Middle,3.0,2.0,1.0,2.0,1.0
23K668,Riverdale Avenue Middle School,Junior High-Intermediate-Middle,2.2,1.2,1.0,1.0,1.0
23K671,Mott Hall Bridges Academy,Junior High-Intermediate-Middle,2.0,2.0,0.0,2.0,0.0
23K697,Teachers Preparatory High School,High school,3.2,2.0,1.2,2.0,1.0
24Q005,I.S. 5 - The Walter Crowley Intermediate School,Junior High-Intermediate-Middle,4.2,4.0,0.2,4.0,0.0
24Q007,P.S. 007 Louis F. Simeone,Elementary,4.0,3.0,1.0,3.0,1.0
24Q012,P.S. 012 James B. Colgate,Elementary,3.0,2.0,1.0,2.0,1.0
24Q013,P.S. 013 Clement C. Moore,Elementary,4.0,3.0,1.0,3.0,1.0
24Q014,P.S. 014 Fairview,Elementary,5.0,4.0,1.0,4.0,1.0
24Q016,P.S. Q016 The Nancy DeBenedittis School,Elementary,4.0,2.0,2.0,2.0,2.0
24Q019,P.S. 019 Marino Jeantet,Elementary,6.0,5.0,1.0,5.0,1.0
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,Early Childhood,1.0,1.0,0.0,1.0,0.0
24Q049,P.S. 049 Dorothy Bonawit Kole,K-8,2.0,1.0,1.0,1.0,1.0
24Q058,P.S. 58 - The School of Heroes,Elementary,1.0,1.0,0.0,1.0,0.0
24Q061,I.S. 061 Leonardo Da Vinci,Junior High-Intermediate-Middle,8.2,6.0,2.2,6.0,2.0
24Q068,P.S. 068 Cambridge,Elementary,2.0,1.0,1.0,1.0,1.0
24Q071,P.S. 071 Forest,Elementary,3.0,2.0,1.0,2.0,1.0
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,Junior High-Intermediate-Middle,6.2,6.0,0.2,6.0,0.0
24Q077,I.S. 077,Junior High-Intermediate-Middle,4.2,3.0,1.2,3.0,1.0
24Q081,P.S. 81Q Jean Paul Richter,Elementary,2.0,1.0,1.0,1.0,1.0
24Q087,P.S./I.S. 087 Middle Village,K-8,2.0,1.0,1.0,1.0,1.0
24Q088,P.S. 088 Seneca,Elementary,3.0,2.0,1.0,2.0,1.0
24Q089,P.S. 089 Elmhurst,Elementary,3.0,2.0,1.0,2.0,1.0
24Q091,P.S. 091 Richard Arkwright,Elementary,2.0,1.0,1.0,1.0,1.0
24Q093,I.S. 093 Ridgewood,Junior High-Intermediate-Middle,4.2,3.0,1.2,3.0,1.0
24Q102,P.S. 102 Bayview,K-8,3.9,2.9,1.0,2.0,1.0
24Q110,P.S. 110,Elementary,2.0,2.0,0.0,2.0,0.0
24Q113,P.S./I.S. 113 Anthony J. Pranzo,K-8,1.0,1.0,0.0,1.0,0.0
24Q119,I.S. 119 The Glendale,K-8,2.0,2.0,0.0,2.0,0.0
24Q125,I.S. 125 Thom J. McCann Woodside,Junior High-Intermediate-Middle,5.2,4.0,1.2,4.0,1.0
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen",K-8,1.0,1.0,0.0,1.0,0.0
24Q143,P.S. 143 Louis Armstrong,Elementary,4.0,3.0,1.0,3.0,1.0
24Q153,P.S. 153 Maspeth Elem,Elementary,3.0,2.0,1.0,2.0,1.0
24Q199,P.S. 199 Maurice A. Fitzgerald,Elementary,2.4,1.4,1.0,1.0,1.0
24Q211,Elm Tree Elementary School,Elementary,1.0,1.0,0.0,1.0,0.0
24Q229,P.S. 229 Emanuel Kaplan,Elementary,3.0,2.0,1.0,2.0,1.0
24Q236,International High School for Health Sciences,High school,3.0,2.8,0.2,2.0,0.0
24Q239,P.S. 239,Elementary,2.0,1.0,1.0,1.0,1.0
24Q264,Academy of Finance and Enterprise,High school,2.0,2.0,0.0,2.0,0.0
24Q267,High School of Applied Communication,High school,2.0,1.0,1.0,1.0,1.0
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferra,Elementary,2.0,1.0,1.0,1.0,1.0
24Q293,Civic Leadership Academy,High school,3.0,3.0,0.0,3.0,0.0
24Q296,Pan American International High School,High school,4.0,3.0,1.0,3.0,1.0
24Q299,Bard High School Early College Queens,High school,3.0,3.0,0.0,3.0,0.0
24Q305,Learners and Leaders,Elementary,1.0,1.0,0.0,1.0,0.0
24Q307,Pioneer Academy,Elementary,1.0,1.0,0.0,1.0,0.0
24Q311,Corona Arts & Sciences Academy,Junior High-Intermediate-Middle,3.2,3.0,0.2,3.0,0.0
24Q330,Helen M. Marshall School,Elementary,2.0,2.0,0.0,2.0,0.0
24Q343,The Children's Lab School,Elementary,1.0,0.0,1.0,0.0,1.0
24Q455,Newtown High School,High school,9.0,8.0,1.0,8.0,1.0
24Q485,Grover Cleveland High School,High school,10.0,9.0,1.0,9.0,1.0
24Q520,Middle College High School at LaGuardia Community,High school,5.0,3.0,2.0,3.0,2.0
24Q530,International High School at LaGuardia Community C,High school,1.0,1.0,0.0,1.0,0.0
24Q550,High School for Arts and Business,High school,3.0,3.0,0.0,3.0,0.0
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",Secondary School,3.2,3.0,0.2,3.0,0.0
24Q585,Maspeth High School,High school,3.2,1.0,2.2,1.0,2.0
24Q600,Queens Technical High School,High school,6.0,5.0,1.0,5.0,1.0
24Q610,Aviation Career & Technical Education High School,High school,7.0,6.0,1.0,6.0,1.0
24Q744,VOYAGES Preparatory,High school,1.0,1.0,0.0,1.0,0.0
25Q020,P.S. 020 John Bowne,Elementary,2.0,1.0,1.0,1.0,1.0
25Q021,P.S. 021 Edward Hart,Elementary,4.0,3.0,1.0,3.0,1.0
25Q022,P.S. 022 Thomas Jefferson,Elementary,2.0,2.0,0.0,2.0,0.0
25Q024,P.S. 024 Andrew Jackson,Elementary,5.0,2.0,3.0,2.0,3.0
25Q025,I.S. 025 Adrien Block,Junior High-Intermediate-Middle,4.0,3.0,1.0,3.0,1.0
25Q029,P.S. 029 Queens,Elementary,1.0,1.0,0.0,1.0,0.0
25Q032,P.S. 032 State Street,Elementary,2.4,1.4,1.0,1.0,1.0
25Q079,P.S. 079 Francis Lewis,Elementary,2.0,1.0,1.0,1.0,1.0
25Q107,P.S. 107 Thomas A Dooley,Elementary,2.0,1.0,1.0,1.0,1.0
25Q120,P.S. 120 Queens,Elementary,1.6,1.6,0.0,1.0,0.0
25Q129,P.S. 129 Patricia Larkin,Elementary,3.0,2.0,1.0,2.0,1.0
25Q130,P.S. 130,Elementary,0.6,0.6,0.0,0.0,0.0
25Q154,P.S. 154 Queens,Elementary,1.0,1.0,0.0,1.0,0.0
25Q163,P.S. 163 Flushing Heights,Elementary,3.0,1.0,2.0,1.0,2.0
25Q164,P.S. 164 Queens Valley,K-8,1.0,1.0,0.0,1.0,0.0
25Q165,P.S. 165 Edith K. Bergtraum,Elementary,3.0,2.0,1.0,2.0,1.0
25Q169,P.S. 169 Bay Terrace,Elementary,1.0,1.0,0.0,1.0,0.0
25Q184,P.S. 184 Flushing Manor,Elementary,1.2,1.2,0.0,1.0,0.0
25Q185,J.H.S. 185 Edward Bleeker,Junior High-Intermediate-Middle,4.0,3.0,1.0,3.0,1.0
25Q189,J.H.S. 189 Daniel Carter Beard,Junior High-Intermediate-Middle,4.0,3.0,1.0,3.0,1.0
25Q193,P.S. 193 Alfred J. Kennedy,Elementary,1.6,0.6,1.0,0.0,1.0
25Q194,J.H.S. 194 William Carr,Junior High-Intermediate-Middle,2.4,2.4,0.0,2.0,0.0
25Q200,P.S./M.S. 200 - The Magnet School of Global Studie,K-8,2.0,1.0,1.0,1.0,1.0
25Q201,P.S. 201 The Discovery School for Inquiry and Rese,Elementary,1.0,1.0,0.0,1.0,0.0
25Q209,P.S. 209 Clearview Gardens,Elementary,2.0,1.0,1.0,1.0,1.0
25Q214,P.S. 214 Cadwallader Colden,Elementary,1.0,1.0,0.0,1.0,0.0
25Q219,P.S. 219 Paul Klapper,K-8,4.0,2.0,2.0,2.0,2.0
25Q237,I.S. 237,Junior High-Intermediate-Middle,3.4,3.4,0.0,3.0,0.0
25Q240,Veritas Academy,High school,4.0,3.0,1.0,3.0,1.0
25Q241,Queens High School for Language Studies,High school,3.2,3.0,0.2,3.0,0.0
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,Early Childhood,0.6,0.6,0.0,0.0,0.0
25Q244,The Active Learning Elementary School,Early Childhood,0.6,0.4,0.2,0.0,0.0
25Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,Junior High-Intermediate-Middle,1.0,1.0,0.0,1.0,0.0
25Q252,"Queens School of Inquiry, The",Secondary School,4.2,3.0,1.2,3.0,1.0
25Q263,Flushing International High School,High school,3.0,2.0,1.0,2.0,1.0
25Q281,East-West School of International Studies,Secondary School,2.2,2.0,0.2,2.0,0.0
25Q285,World Journalism Preparatory: A College Board Scho,Secondary School,2.0,2.0,0.0,2.0,0.0
25Q294,BELL Academy,Junior High-Intermediate-Middle,1.0,1.0,0.0,1.0,0.0
