DBN,School  Information                                                                                                         School Name,Location Type,"Total Guidance Counselors (GC) & Social Workers (SW)


(includes GCs, SWs, ATRs, School Response Clinicians, High Needs Counselors, High Need SWs, Single Shepherds, Bridging the Gap SWs)",Total GC,Total SW,Counts by Role Specificaiton           Full-time GC,Counts by Role Specification                       Full-Time SW,Count by Role Specification          Part-time GC,Count by Role Specification           Part-Time SW,Additional Role Specifications      Bilingual GC,Additional Role Specifications        Bilingual SW,Additional Role Specifications        GC Serving More than One Location,Additional Role Specifications        SW Serving More than One Location,Program Designations Included in Counts      Bridging the Gap,Program Designations Included in Counts        High Needs SW,Program Designations Included in Counts        High Needs GC,Program Designations Included in Counts        School Response Clinician,Program Designations Included in Counts               Single Shepherd,Additional Supports      Learning to Work,Additional Supports              CBO Partner,Enrollment and Ratios   2019-20 SY Enrollment,Enrollment and Ratios           Ratio GC & SW,Enrollment and Ratios                   Ratio GC Only,Enrollment and Ratios                     Ratio SW Only
06M098,P.S. 098 Shorac Kappock,ELEMENTARY,1.0,1,0,1,0,0,0,1,0,0,0,na,na,na,na,na,na,na,414,414,414,414
06M103,Dos Puentes Elementary School,ELEMENTARY,2.0,1,1,1,1,0,0,1,1,0,0,na,na,na,na,na,na,na,415,208,415,415
06M115,P.S. 115 Alexander Humboldt,ELEMENTARY,2.0,1,1,1,1,0,0,0,1,0,0,na,na,na,na,na,na,na,447,224,447,447
06M128,P.S. 128 Audubon,ELEMENTARY,2.0,1,1,1,1,0,0,1,1,0,0,na,na,na,na,na,na,na,604,302,604,604
06M132,P.S. 132 Juan Pablo Duarte,ELEMENTARY,1.0,1,0,1,0,0,0,1,0,0,0,na,na,na,na,na,na,na,205,205,205,205
06M143,J.H.S. 143 Eleanor Roosevelt,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0,1,0,1,0,0,0,1,0,0,0,na,na,na,na,na,na,na,222,222,222,222
06M152,P.S. 152 Dyckman Valley,ELEMENTARY,4.0,2,2,2,2,0,0,2,0,0,0,na,na,na,na,na,na,na,544,136,272,272
06M153,P.S. 153 Adam Clayton Powell,ELEMENTARY,2.0,1,1,1,1,0,0,1,0,0,0,na,na,na,na,na,na,na,490,245,490,490
06M173,P.S. 173,ELEMENTARY,3.0,2,1,2,1,0,0,0,0,0,0,na,na,na,na,na,na,na,505,168,253,505
06M178,Professor Juan Bosch Public School,ELEMENTARY,2.0,0,2,0,2,0,0,0,1,0,0,na,na,na,na,na,na,na,293,147,293,147
06M187,P.S./I.S. 187 Hudson Cliffs,K-8,4.0,4,0,4,0,0,0,0,0,0,0,na,na,na,na,na,na,na,785,196,196,785
06M189,P.S. 189,ELEMENTARY,3.0,2,1,2,1,0,0,1,0,0,0,na,na,na,na,na,na,na,659,220,330,659
06M192,P.S. 192 Jacob H. Schiff,ELEMENTARY,2.0,0,2,0,2,0,0,0,1,0,0,na,na,na,na,na,na,na,341,171,341,171
06M209,Hamilton Grange Middle School,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2.0,1,1,1,1,0,0,0,0,0,0,na,na,High Needs GC,na,na,na,na,321,161,321,321
